"국가별","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"중국","수출금액[천불]","천불","10695827","9644037","10520355","10475410","11378217","10706131","11388071","11340799","11626573","12172811","11290362","11772793","9204172","9505605","10057086","10870289","10446428","10424044","11047812","10990269","11679519","11551156","12040141","12964961","13527393","12778487","16685519","17665775","18883274","20002319","21681184",
"중국","수입금액[천불]","천불","12396980","9429123","11409748","12425106","12287459","10941026","11942846","11482791","11221400","12513916","11445747","12382340","11208793","9485141","11377002","12504100","11339130","11498332","12422355","11556618","13508598","11359093","11962698","13729115","13189580","11634017","14126113","15590891","15097201","16422805","16317852",
"중국","무역수지[천불]","천불","-1701153","214914","-889393","-1949696","-909242","-234895","-554775","-141992","405173","-341105","-155385","-609547","-2004621","20464","-1319916","-1633812","-892702","-1074288","-1374543","-566349","-1829079","192064","77443","-764154","337812","1144469","2559406","2074884","3786072","3579514","5363331",
"미국","수출금액[천불]","천불","10252308","9809053","10880793","11400587","10930529","11295693","10184399","9937504","10411877","10394328","10370481","11893820","9282567","9889640","11109476","10605998","10036995","11208004","10333446","8718145","10267271","8711425","10352809","12335136","12006727","12704285","16419951","16359174","15981424","20001822","17474061",
"미국","수입금액[천불]","천불","6138062","5612523","5975811","6012893","6375264","5496912","7921852","6257983","5457525","5968731","5438200","5476550","5839341","5739598","5391830","6139710","6773649","5986429","6418521","5981182","5936407","6283534","6102242","6773605","6761951","5759089","7236965","8330306","7518119","7910343","8967205",
"미국","무역수지[천불]","천불","4114246","4196529","4904982","5387695","4555265","5798781","2262547","3679521","4954352","4425598","4932281","6417271","3443226","4150043","5717646","4466288","3263346","5221576","3914925","2736963","4330864","2427891","4250568","5561531","5244775","6945195","9182986","8028868","8463305","12091479","8506856",
"일본","수출금액[천불]","천불","2542909","2374211","2127249","2438708","2606050","2382041","2597690","2500141","2478851","2423573","2491515","2644228","2363797","2265014","2158842","2304321","2372099","2440273","2483646","2376746","2560674","2219360","2306195","2456896","2245851","2392260","2918759","2981619","2640922","2797701","2753565",
"일본","수입금액[천불]","천불","3755031","3722298","4080885","4130443","3443526","3507948","4107365","3914421","4085613","4378339","3991867","4476095","3587345","4192448","4579729","4477625","3558731","4054965","4103441","3626223","4266280","3853664","3934707","4673371","3900671","3980504","5111054","4496152","4292956","4987562","4904968",
"일본","무역수지[천불]","천불","-1212122","-1348087","-1953637","-1691736","-837476","-1125908","-1509675","-1414279","-1606762","-1954765","-1500352","-1831867","-1223548","-1927434","-2420888","-2173303","-1186633","-1614693","-1619795","-1249477","-1705607","-1634304","-1628512","-2216475","-1654820","-1588244","-2192296","-1514533","-1652034","-2189861","-2151403",
"홍콩","수출금액[천불]","천불","2678154","2983274","3698705","2933525","2706663","3430045","2594654","2966813","3105513","2210877","2425723","3287666","1685484","1888440","2681760","2515707","2855506","3181149","2348329","2726867","3496991","3064910","3762282","4624114","4329293","4984128","7860308","5541634","6466679","9095014","6654372",
"홍콩","수입금액[천불]","천불","189044","222994","291247","376418","141282","91409","103876","235626","102315","127382","243628","130955","183373","451335","329809","202744","121523","130331","192301","123974","386038","936205","620895","343481","459196","487200","179660","207901","248816","215249","117305",
"홍콩","무역수지[천불]","천불","2489109","2760280","3407458","2557107","2565380","3338637","2490778","2731186","3003198","2083494","2182095","3156711","1502111","1437105","2351951","2312963","2733983","3050817","2156027","2602893","3110953","2128705","3141388","4280633","3870097","4496928","7680647","5333733","6217863","8879765","6537067",
"베트남","수출금액[천불]","천불","4189458","4207880","4830494","4552004","5115764","5124412","4968830","5049343","4980950","5231509","5142173","4930153","4356972","4733818","5025872","4836983","5236200","4936225","5540385","5398092","5925624","5101558","5401863","6281464","6453114","5895225","7131929","7897898","8444947","8610837","9933400",
"베트남","수입금액[천불]","천불","2653858","2127367","2314000","2249764","2040070","2201439","2493154","2589553","2447669","2552260","2319319","2455078","2564727","2264974","2604697","2496615","2366380","2545012","2879055","2952369","2865793","2732631","2553003","2948980","3055435","2933658","3211905","3004795","2623560","3141864","3504676",
"베트남","무역수지[천불]","천불","1535600","2080513","2516494","2302240","3075694","2922973","2475676","2459789","2533281","2679249","2822854","2475075","1792245","2468843","2421175","2340368","2869820","2391213","2661331","2445723","3059831","2368927","2848860","3332484","3397678","2961567","3920024","4893103","5821387","5468973","6428724",
"대만","수출금액[천불]","천불","1773976","1531945","1988528","2086951","2516984","3314386","2773161","3146045","3719390","3528893","3253132","4335694","2438188","2751970","3820712","3302394","3773435","4348540","4652836","4371509","5205355","5157834","4116109","5131207","3960811","4549215","6318777","5561208","6664227","8322974","5677910",
"대만","수입금액[천불]","천불","2196893","2191751","2129274","2298493","2792061","2175690","2555217","2573665","2899513","2680327","2821020","2911032","2227887","2396498","2912365","2318181","2436079","2829567","2944924","2800398","2819940","2974683","2789480","2874434","2935154","2608423","3122519","3310626","3137224","3770739","4327678",
"대만","무역수지[천불]","천불","-422917","-659807","-140746","-211542","-275077","1138696","217945","572380","819878","848566","432112","1424661","210301","355472","908347","984213","1337356","1518973","1707912","1571111","2385415","2183152","1326629","2256773","1025657","1940792","3196258","2250582","3527003","4552235","1350232",
"싱가포르","수출금액[천불]","천불","1757142","1116630","1950908","1355784","1776947","1419483","1443110","1397637","1297264","1397107","1565073","1747126","1162020","1629460","1894030","1449396","1587493","1529376","1795829","2164627","1510021","1483016","1278337","2069321","1702991","2492959","2075543","2194531","2304935","3148227","2441077",
"싱가포르","수입금액[천불]","천불","986295","796749","883606","861347","887799","671151","907389","911315","816093","1057251","732737","1048732","1027832","867679","938967","978755","861460","849317","927559","835297","833656","1203757","1014330","1036219","1223711","1150177","1334552","1562828","1337718","1586265","1335845",
"싱가포르","무역수지[천불]","천불","770847","319881","1067303","494437","889148","748332","535721","486322","481172","339856","832336","698395","134187","761780","955063","470640","726033","680060","868270","1329329","676364","279259","264006","1033101","479281","1342782","740992","631703","967217","1561962","1105232",
"인도","수출금액[천불]","천불","1538078","1474545","1512489","1568004","1678333","1554083","1616303","1636206","1469018","1511925","1452203","1684867","1463921","1595804","1502347","1702787","1615438","1582585","1781514","1591153","1721596","1477351","1477040","1719210","1684688","1739790","1966478","2416741","1955195","2104346","2583451",
"인도","수입금액[천불]","천불","543856","557306","497623","520352","478547","517580","570074","584789","427293","544731","554599","634573","535824","539825","592525","504824","628280","480172","505445","538802","626758","519715","430629","518728","525074","453648","634089","698212","652952","774957","728278",
"인도","무역수지[천불]","천불","994222","917240","1014865","1047652","1199786","1036503","1046229","1051417","1041725","967193","897604","1050293","928097","1055979","909822","1197963","987158","1102413","1276069","1052351","1094837","957636","1046411","1200482","1159614","1286142","1332389","1718529","1302243","1329389","1855173",
"독일","수출금액[천불]","천불","759404","850552","797172","918763","912421","669829","625648","867481","695852","710472","616667","612736","769583","709874","894703","882438","1075108","648527","694525","758699","722841","733667","709202","674510","791108","729847","1007521","955731","816249","880905","1016033",
"독일","수입금액[천불]","천불","1517821","1732736","1815956","1949845","1972093","2054951","1974760","1838261","1893828","1938986","1626791","1976129","1389601","1659253","1835660","1708847","1975432","1715779","2024932","1712143","2030772","1623844","1737619","2215267","1628526","1541844","2094911","1803477","1994427","2155380","1867273",
"독일","무역수지[천불]","천불","-758417","-882184","-1018784","-1031082","-1059672","-1385121","-1349112","-970780","-1197976","-1228514","-1010124","-1363393","-620018","-949379","-940957","-826408","-900324","-1067251","-1330408","-953444","-1307931","-890177","-1028417","-1540758","-837418","-811998","-1087390","-847746","-1178178","-1274475","-851240",
"멕시코","수출금액[천불]","천불","1107426","1091334","1181040","1141358","1179961","1213091","1327740","1085010","1037904","1125856","980571","1132940","947164","961378","942536","1044406","1067191","978440","1075294","997130","1136443","946692","908778","1050833","1020311","952839","1502995","1348184","1532847","1569669","1329958",
"멕시코","수입금액[천불]","천불","772681","420913","427353","634692","662550","526482","880205","729718","527226","569725","591079","771043","767989","640039","703028","599038","702788","1101780","627634","620792","690208","777890","623927","611377","895985","755150","858527","970526","575071","701521","1322124",
"멕시코","무역수지[천불]","천불","334745","670420","753687","506666","517411","686608","447534","355292","510678","556132","389492","361897","179176","321339","239508","445368","364403","-123340","447660","376337","446235","168802","284851","439456","124326","197689","644468","377658","957776","868148","7834",
"인도네시아","수출금액[천불]","천불","614796","681344","495931","650345","679128","715609","758552","755965","593777","717415","655072","630316","551655","674768","537114","708664","567590","531999","603202","526704","599882","554478","552242","586435","662361","547352","668531","909174","912941","846839","843850",
"인도네시아","수입금액[천불]","천불","1337315","1066665","1028617","1077470","1084435","814901","954830","1203242","1108703","987644","1031879","868623","1114629","985494","802101","881235","863718","958923","940986","911237","1026768","815030","812708","1191102","1105099","916517","992613","855425","887287","949493","1147470",
"인도네시아","무역수지[천불]","천불","-722519","-385321","-532686","-427124","-405307","-99292","-196278","-447277","-514926","-270229","-376807","-238307","-562974","-310726","-264987","-172571","-296128","-426924","-337784","-384533","-426886","-260552","-260466","-604666","-442738","-369165","-324081","53749","25654","-102654","-303619",
"호주","수출금액[천불]","천불","1454836","1259267","1589358","1427201","1253380","1169209","1374642","1236195","1401055","1074930","1204183","1153689","909427","991921","902185","1311045","1136166","1205201","1203119","1499722","1344041","1267223","1002756","1400778","1232942","1143777","2827370","2205441","2095885","2054192","1806271",
"호주","수입금액[천불]","천불","3308750","2338063","2401773","2975065","2271405","2369177","1874512","2745493","2385706","2609694","2386134","2288927","2906682","2340709","2550488","2771097","2473402","2103128","2574826","2400638","2769550","3237736","2997459","2965264","3373170","2443962","2633673","2632237","3021929","2976172","3262155",
