country,metric,unit,date,value,year_month,metric_std
가나,수출금액,천불,2024-01-01,15413,2024-01,export_value
가나,수입금액,천불,2024-01-01,864,2024-01,import_value
가나,무역수지,천불,2024-01-01,14548,2024-01,trade_balance
가나,수출금액,천불,2024-02-01,17445,2024-02,export_value
가나,수입금액,천불,2024-02-01,1691,2024-02,import_value
가나,무역수지,천불,2024-02-01,15754,2024-02,trade_balance
가나,수출금액,천불,2024-03-01,12351,2024-03,export_value
가나,수입금액,천불,2024-03-01,2894,2024-03,import_value
가나,무역수지,천불,2024-03-01,9457,2024-03,trade_balance
가나,수출금액,천불,2024-04-01,16306,2024-04,export_value
가나,수입금액,천불,2024-04-01,3459,2024-04,import_value
가나,무역수지,천불,2024-04-01,12846,2024-04,trade_balance
가나,수출금액,천불,2024-05-01,13404,2024-05,export_value
가나,수입금액,천불,2024-05-01,5249,2024-05,import_value
가나,무역수지,천불,2024-05-01,8154,2024-05,trade_balance
가나,수출금액,천불,2024-06-01,13143,2024-06,export_value
가나,수입금액,천불,2024-06-01,3075,2024-06,import_value
가나,무역수지,천불,2024-06-01,10067,2024-06,trade_balance
가나,수출금액,천불,2024-07-01,12673,2024-07,export_value
가나,수입금액,천불,2024-07-01,5032,2024-07,import_value
가나,무역수지,천불,2024-07-01,7641,2024-07,trade_balance
가나,수출금액,천불,2024-08-01,13755,2024-08,export_value
가나,수입금액,천불,2024-08-01,11206,2024-08,import_value
가나,무역수지,천불,2024-08-01,2549,2024-08,trade_balance
가나,수출금액,천불,2024-09-01,13132,2024-09,export_value
가나,수입금액,천불,2024-09-01,4043,2024-09,import_value
가나,무역수지,천불,2024-09-01,9089,2024-09,trade_balance
가나,수출금액,천불,2024-10-01,18882,2024-10,export_value
가나,수입금액,천불,2024-10-01,5324,2024-10,import_value
가나,무역수지,천불,2024-10-01,13558,2024-10,trade_balance
가나,수출금액,천불,2024-11-01,18999,2024-11,export_value
가나,수입금액,천불,2024-11-01,5967,2024-11,import_value
가나,무역수지,천불,2024-11-01,13032,2024-11,trade_balance
가나,수출금액,천불,2024-12-01,23582,2024-12,export_value
가나,수입금액,천불,2024-12-01,6676,2024-12,import_value
가나,무역수지,천불,2024-12-01,16906,2024-12,trade_balance
가나,수출금액,천불,2025-01-01,17113,2025-01,export_value
가나,수입금액,천불,2025-01-01,6487,2025-01,import_value
가나,무역수지,천불,2025-01-01,10626,2025-01,trade_balance
가나,수출금액,천불,2025-02-01,30086,2025-02,export_value
가나,수입금액,천불,2025-02-01,14214,2025-02,import_value
가나,무역수지,천불,2025-02-01,15873,2025-02,trade_balance
가나,수출금액,천불,2025-03-01,23199,2025-03,export_value
가나,수입금액,천불,2025-03-01,10004,2025-03,import_value
가나,무역수지,천불,2025-03-01,13195,2025-03,trade_balance
가나,수출금액,천불,2025-04-01,28315,2025-04,export_value
가나,수입금액,천불,2025-04-01,17837,2025-04,import_value
가나,무역수지,천불,2025-04-01,10478,2025-04,trade_balance
가나,수출금액,천불,2025-05-01,13751,2025-05,export_value
가나,수입금액,천불,2025-05-01,10619,2025-05,import_value
가나,무역수지,천불,2025-05-01,3132,2025-05,trade_balance
가나,수출금액,천불,2025-06-01,17430,2025-06,export_value
가나,수입금액,천불,2025-06-01,11894,2025-06,import_value
가나,무역수지,천불,2025-06-01,5535,2025-06,trade_balance
가나,수출금액,천불,2025-07-01,24078,2025-07,export_value
가나,수입금액,천불,2025-07-01,11402,2025-07,import_value
가나,무역수지,천불,2025-07-01,12675,2025-07,trade_balance
가나,수출금액,천불,2025-08-01,19808,2025-08,export_value
가나,수입금액,천불,2025-08-01,5119,2025-08,import_value
가나,무역수지,천불,2025-08-01,14689,2025-08,trade_balance
가나,수출금액,천불,2025-09-01,31014,2025-09,export_value
가나,수입금액,천불,2025-09-01,4015,2025-09,import_value
가나,무역수지,천불,2025-09-01,26999,2025-09,trade_balance
가나,수출금액,천불,2025-10-01,21044,2025-10,export_value
가나,수입금액,천불,2025-10-01,5195,2025-10,import_value
가나,무역수지,천불,2025-10-01,15849,2025-10,trade_balance
가나,수출금액,천불,2025-11-01,17147,2025-11,export_value
가나,수입금액,천불,2025-11-01,3959,2025-11,import_value
가나,무역수지,천불,2025-11-01,13188,2025-11,trade_balance
가나,수출금액,천불,2025-12-01,31124,2025-12,export_value
가나,수입금액,천불,2025-12-01,3882,2025-12,import_value
가나,무역수지,천불,2025-12-01,27242,2025-12,trade_balance
가나,수출금액,천불,2026-01-01,20492,2026-01,export_value
가나,수입금액,천불,2026-01-01,4658,2026-01,import_value
가나,무역수지,천불,2026-01-01,15834,2026-01,trade_balance
가나,수출금액,천불,2026-02-01,23267,2026-02,export_value
가나,수입금액,천불,2026-02-01,4541,2026-02,import_value
가나,무역수지,천불,2026-02-01,18726,2026-02,trade_balance
가나,수출금액,천불,2026-03-01,20311,2026-03,export_value
가나,수입금액,천불,2026-03-01,7570,2026-03,import_value
가나,무역수지,천불,2026-03-01,12740,2026-03,trade_balance
가나,수출금액,천불,2026-04-01,24274,2026-04,export_value
가나,수입금액,천불,2026-04-01,4330,2026-04,import_value
가나,무역수지,천불,2026-04-01,19944,2026-04,trade_balance
가나,수출금액,천불,2026-05-01,22868,2026-05,export_value
가나,수입금액,천불,2026-05-01,11078,2026-05,import_value
가나,무역수지,천불,2026-05-01,11790,2026-05,trade_balance
가나,수출금액,천불,2026-06-01,33533,2026-06,export_value
가나,수입금액,천불,2026-06-01,6902,2026-06,import_value
가나,무역수지,천불,2026-06-01,26631,2026-06,trade_balance
가나,수출금액,천불,2026-07-01,32236,2026-07,export_value
가나,수입금액,천불,2026-07-01,3423,2026-07,import_value
가나,무역수지,천불,2026-07-01,28813,2026-07,trade_balance
가봉,수출금액,천불,2024-01-01,1712,2024-01,export_value
가봉,수입금액,천불,2024-01-01,94,2024-01,import_value
가봉,무역수지,천불,2024-01-01,1618,2024-01,trade_balance
가봉,수출금액,천불,2024-02-01,1265,2024-02,export_value
가봉,수입금액,천불,2024-02-01,10,2024-02,import_value
가봉,무역수지,천불,2024-02-01,1255,2024-02,trade_balance
가봉,수출금액,천불,2024-03-01,2340,2024-03,export_value
가봉,수입금액,천불,2024-03-01,2240,2024-03,import_value
가봉,무역수지,천불,2024-03-01,100,2024-03,trade_balance
가봉,수출금액,천불,2024-04-01,1912,2024-04,export_value
가봉,수입금액,천불,2024-04-01,2513,2024-04,import_value
가봉,무역수지,천불,2024-04-01,-600,2024-04,trade_balance
가봉,수출금액,천불,2024-05-01,1597,2024-05,export_value
가봉,수입금액,천불,2024-05-01,200,2024-05,import_value
가봉,무역수지,천불,2024-05-01,1396,2024-05,trade_balance
가봉,수출금액,천불,2024-06-01,1111,2024-06,export_value
가봉,수입금액,천불,2024-06-01,1858,2024-06,import_value
가봉,무역수지,천불,2024-06-01,-748,2024-06,trade_balance
가봉,수출금액,천불,2024-07-01,1202,2024-07,export_value
가봉,수입금액,천불,2024-07-01,87,2024-07,import_value
가봉,무역수지,천불,2024-07-01,1115,2024-07,trade_balance
가봉,수출금액,천불,2024-08-01,1734,2024-08,export_value
가봉,수입금액,천불,2024-08-01,9000,2024-08,import_value
가봉,무역수지,천불,2024-08-01,-7266,2024-08,trade_balance
가봉,수출금액,천불,2024-09-01,1571,2024-09,export_value
가봉,수입금액,천불,2024-09-01,60,2024-09,import_value
가봉,무역수지,천불,2024-09-01,1510,2024-09,trade_balance
가봉,수출금액,천불,2024-10-01,2158,2024-10,export_value
가봉,수입금액,천불,2024-10-01,4452,2024-10,import_value
가봉,무역수지,천불,2024-10-01,-2295,2024-10,trade_balance
가봉,수출금액,천불,2024-11-01,2443,2024-11,export_value
가봉,수입금액,천불,2024-11-01,3050,2024-11,import_value
가봉,무역수지,천불,2024-11-01,-607,2024-11,trade_balance
가봉,수출금액,천불,2024-12-01,2184,2024-12,export_value
가봉,수입금액,천불,2024-12-01,0,2024-12,import_value
가봉,무역수지,천불,2024-12-01,2184,2024-12,trade_balance
가봉,수출금액,천불,2025-01-01,1382,2025-01,export_value
가봉,수입금액,천불,2025-01-01,79,2025-01,import_value
가봉,무역수지,천불,2025-01-01,1303,2025-01,trade_balance
가봉,수출금액,천불,2025-02-01,1229,2025-02,export_value
가봉,수입금액,천불,2025-02-01,6434,2025-02,import_value
가봉,무역수지,천불,2025-02-01,-5205,2025-02,trade_balance
가봉,수출금액,천불,2025-03-01,1951,2025-03,export_value
가봉,수입금액,천불,2025-03-01,173,2025-03,import_value
가봉,무역수지,천불,2025-03-01,1778,2025-03,trade_balance
가봉,수출금액,천불,2025-04-01,1774,2025-04,export_value
가봉,수입금액,천불,2025-04-01,468,2025-04,import_value
가봉,무역수지,천불,2025-04-01,1306,2025-04,trade_balance
가봉,수출금액,천불,2025-05-01,1602,2025-05,export_value
가봉,수입금액,천불,2025-05-01,70122,2025-05,import_value
가봉,무역수지,천불,2025-05-01,-68520,2025-05,trade_balance
가봉,수출금액,천불,2025-06-01,1374,2025-06,export_value
가봉,수입금액,천불,2025-06-01,5495,2025-06,import_value
가봉,무역수지,천불,2025-06-01,-4122,2025-06,trade_balance
가봉,수출금액,천불,2025-07-01,2715,2025-07,export_value
가봉,수입금액,천불,2025-07-01,3030,2025-07,import_value
가봉,무역수지,천불,2025-07-01,-316,2025-07,trade_balance
가봉,수출금액,천불,2025-08-01,2105,2025-08,export_value
가봉,수입금액,천불,2025-08-01,33,2025-08,import_value
가봉,무역수지,천불,2025-08-01,2073,2025-08,trade_balance
가봉,수출금액,천불,2025-09-01,2054,2025-09,export_value
