country,date,year_month,export_value,import_value,trade_balance
가나,2024-01-01,2024-01,15413,864,14548
가나,2024-02-01,2024-02,17445,1691,15754
가나,2024-03-01,2024-03,12351,2894,9457
가나,2024-04-01,2024-04,16306,3459,12846
가나,2024-05-01,2024-05,13404,5249,8154
가나,2024-06-01,2024-06,13143,3075,10067
가나,2024-07-01,2024-07,12673,5032,7641
가나,2024-08-01,2024-08,13755,11206,2549
가나,2024-09-01,2024-09,13132,4043,9089
가나,2024-10-01,2024-10,18882,5324,13558
가나,2024-11-01,2024-11,18999,5967,13032
가나,2024-12-01,2024-12,23582,6676,16906
가나,2025-01-01,2025-01,17113,6487,10626
가나,2025-02-01,2025-02,30086,14214,15873
가나,2025-03-01,2025-03,23199,10004,13195
가나,2025-04-01,2025-04,28315,17837,10478
가나,2025-05-01,2025-05,13751,10619,3132
가나,2025-06-01,2025-06,17430,11894,5535
가나,2025-07-01,2025-07,24078,11402,12675
가나,2025-08-01,2025-08,19808,5119,14689
가나,2025-09-01,2025-09,31014,4015,26999
가나,2025-10-01,2025-10,21044,5195,15849
가나,2025-11-01,2025-11,17147,3959,13188
가나,2025-12-01,2025-12,31124,3882,27242
가나,2026-01-01,2026-01,20492,4658,15834
가나,2026-02-01,2026-02,23267,4541,18726
가나,2026-03-01,2026-03,20311,7570,12740
가나,2026-04-01,2026-04,24274,4330,19944
가나,2026-05-01,2026-05,22868,11078,11790
가나,2026-06-01,2026-06,33533,6902,26631
가나,2026-07-01,2026-07,32236,3423,28813
가봉,2024-01-01,2024-01,1712,94,1618
가봉,2024-02-01,2024-02,1265,10,1255
가봉,2024-03-01,2024-03,2340,2240,100
가봉,2024-04-01,2024-04,1912,2513,-600
가봉,2024-05-01,2024-05,1597,200,1396
가봉,2024-06-01,2024-06,1111,1858,-748
가봉,2024-07-01,2024-07,1202,87,1115
가봉,2024-08-01,2024-08,1734,9000,-7266
가봉,2024-09-01,2024-09,1571,60,1510
가봉,2024-10-01,2024-10,2158,4452,-2295
가봉,2024-11-01,2024-11,2443,3050,-607
가봉,2024-12-01,2024-12,2184,0,2184
가봉,2025-01-01,2025-01,1382,79,1303
가봉,2025-02-01,2025-02,1229,6434,-5205
가봉,2025-03-01,2025-03,1951,173,1778
가봉,2025-04-01,2025-04,1774,468,1306
가봉,2025-05-01,2025-05,1602,70122,-68520
가봉,2025-06-01,2025-06,1374,5495,-4122
가봉,2025-07-01,2025-07,2715,3030,-316
가봉,2025-08-01,2025-08,2105,33,2073
가봉,2025-09-01,2025-09,2054,125,1929
가봉,2025-10-01,2025-10,2138,2467,-329
가봉,2025-11-01,2025-11,1487,439,1048
